27, 0, 0, 62, 108, 56
28, 0, 0, 38, 79, 39
27, 1, 0, 156, 193, 120
28, 1, 0, 137, 168, 91
29, 1, 0, 113, 147, 70
25, 2, 0, 119, 155, 104
27, 2, 0, 120, 158, 80
28, 2, 0, 123, 160, 80
29, 2, 0, 153, 178, 104
25, 3, 0, 10, 32, 15
26, 3, 0, 131, 172, 86
27, 3, 0, 48, 77, 38
28, 3, 0, 98, 142, 80
29, 3, 0, 74, 97, 38
26, 4, 0, 152, 181, 109
27, 4, 0, 120, 167, 92
28, 4, 0, 95, 130, 60
38, 4, 0, 67, 101, 52
39, 4, 0, 56, 83, 52
40, 4, 0, 110, 151, 71
26, 5, 0, 118, 157, 77
27, 5, 0, 166, 187, 120
28, 5, 0, 162, 187, 123
37, 5, 0, 106, 148, 84
38, 5, 0, 103, 149, 77
39, 5, 0, 120, 162, 85
40, 5, 0, 105, 137, 95
27, 6, 0, 148, 180, 90
28, 6, 0, 170, 193, 132
36, 6, 0, 126, 176, 103
37, 6, 0, 136, 179, 101
38, 6, 0, 63, 93, 62
39, 6, 0, 120, 154, 97
40, 6, 0, 0, 8, 0
36, 7, 0, 129, 171, 91
37, 7, 0, 124, 164, 81
38, 7, 0, 5, 20, 1
39, 7, 0, 27, 42, 22
18, 8, 0, 91, 148, 84
19, 8, 0, 117, 169, 95
20, 8, 0, 129, 169, 95
0, 9, 0, 43, 64, 33
1, 9, 0, 87, 139, 74
2, 9, 0, 101, 156, 90
3, 9, 0, 88, 142, 81
4, 9, 0, 74, 125, 68
5, 9, 0, 80, 136, 76
6, 9, 0, 83, 137, 74
7, 9, 0, 66, 114, 59
8, 9, 0, 77, 124, 72
9, 9, 0, 89, 141, 83
10, 9, 0, 72, 120, 67
11, 9, 0, 75, 125, 68
12, 9, 0, 82, 135, 79
13, 9, 0, 81, 133, 77
14, 9, 0, 146, 186, 105
15, 9, 0, 153, 185, 109
16, 9, 0, 153, 190, 109
17, 9, 0, 145, 180, 98
18, 9, 0, 160, 191, 116
19, 9, 0, 158, 189, 108
20, 9, 0, 139, 178, 102
21, 9, 0, 150, 186, 112
22, 9, 0, 159, 190, 124
18, 10, 0, 96, 149, 89
19, 10, 0, 123, 171, 101
20, 10, 0, 132, 178, 100
36, 11, 0, 132, 172, 91
37, 11, 0, 129, 169, 87
38, 11, 0, 8, 15, 7
39, 11, 0, 31, 46, 29
27, 12, 0, 150, 184, 100
28, 12, 0, 165, 186, 122
36, 12, 0, 98, 148, 88
37, 12, 0, 130, 170, 92
38, 12, 0, 54, 91, 52
39, 12, 0, 72, 105, 58
40, 12, 0, 0, 0, 0
26, 13, 0, 108, 142, 65
27, 13, 0, 165, 187, 123
28, 13, 0, 153, 181, 113
37, 13, 0, 105, 149, 81
38, 13, 0, 121, 164, 87
39, 13, 0, 87, 132, 73
40, 13, 0, 0, 14, 0
26, 14, 0, 154, 180, 117
27, 14, 0, 135, 173, 98
28, 14, 0, 81, 117, 41
38, 14, 0, 50, 85, 36
39, 14, 0, 49, 62, 48
40, 14, 0, 67, 92, 50
25, 15, 0, 64, 87, 55
26, 15, 0, 125, 162, 102
27, 15, 0, 83, 112, 80
28, 15, 0, 92, 138, 73
25, 16, 0, 129, 171, 104
27, 16, 0, 68, 99, 43
28, 16, 0, 130, 168, 88
29, 16, 0, 49, 70, 31
27, 17, 0, 174, 207, 133
28, 17, 0, 42, 63, 34
29, 17, 0, 60, 84, 51
27, 18, 0, 42, 80, 42
28, 18, 0, 48, 84, 49
26, 4, 1, 79, 123, 58
27, 4, 1, 112, 156, 97
28, 4, 1, 107, 145, 93
26, 5, 1, 91, 132, 73
27, 5, 1, 136, 187, 142
43, 10, 7, 98, 122, 75
29, 5, 1, 135, 162, 79
27, 6, 1, 130, 166, 83
42, 10, 7, 98, 130, 75
29, 6, 1, 154, 180, 110
35, 6, 1, 120, 163, 110
36, 6, 1, 114, 158, 79
37, 6, 1, 128, 169, 118
27, 7, 1, 172, 187, 128
28, 7, 1, 174, 198, 136
29, 7, 1, 145, 178, 105
30, 7, 1, 142, 179, 107
31, 7, 1, 135, 173, 90
32, 7, 1, 148, 182, 105
33, 7, 1, 138, 172, 92
35, 7, 1, 88, 132, 80
41, 10, 7, 99, 133, 91
37, 7, 1, 68, 106, 55
19, 8, 1, 90, 147, 87
20, 8, 1, 124, 167, 90
21, 8, 1, 107, 162, 98
22, 8, 1, 113, 162, 93
23, 8, 1, 148, 186, 113
24, 8, 1, 82, 137, 80
25, 8, 1, 93, 142, 83
26, 8, 1, 102, 157, 92
27, 8, 1, 167, 188, 123
28, 8, 1, 154, 185, 120
29, 8, 1, 169, 189, 130
30, 8, 1, 173, 191, 133
31, 8, 1, 166, 187, 131
32, 8, 1, 172, 189, 132
33, 8, 1, 166, 188, 129
